ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#5,Between_AJ_FW,0.069846,-0.060338,-0.008787,0.622758,0.155802,0.034082,-0.542733,0.025579,1.120163,0.956421,0.250640,-0.372526,0.051756,0.081410,0.475927,1.160613,,0.251288,0.123502
ROI#5,Between_V_N,0.127067,-0.035030,-0.127155,0.682367,0.061741,0.215258,-0.222057,0.159754,0.913575,0.991781,0.244635,-0.378754,0.095685,0.113831,0.438652,0.952212,,0.264598,0.105015
ROI#5,Between_V_AJ,0.100038,-0.069197,0.020262,0.650469,0.091525,0.138827,-0.416804,0.092251,0.969989,0.972403,0.278117,-0.394405,0.112577,0.005257,0.496246,1.067089,,0.257165,0.113781
ROI#5,Between_V_AV,0.087103,0.051739,0.101212,0.675748,0.147446,0.103386,-0.347142,0.075831,0.978870,0.960166,0.326928,-0.328876,0.073274,-0.088542,0.424328,1.171755,,0.275827,0.113284
ROI#5,Between_V_FW,0.045171,0.000833,0.042439,0.661628,0.170617,-0.015471,-0.504791,0.017727,1.104379,1.008844,0.298220,-0.324527,0.082971,0.084005,0.441250,1.190539,,0.268990,0.122917
ROI#5,Between_AV_N,0.109730,0.067225,-0.079364,0.685271,0.112693,0.226526,-0.222650,0.160810,0.925061,0.940766,0.235794,-0.366190,0.061350,0.020679,0.398126,1.015084,,0.268182,0.104178
ROI#5,Between_AV_AJ,0.118683,0.003493,0.049010,0.653558,0.142836,0.153583,-0.354917,0.074315,1.001699,0.936098,0.271551,-0.383142,0.073996,-0.079313,0.467892,1.137105,,0.266653,0.113750
ROI#5,Between_AV_V,0.087103,0.051739,0.101212,0.675748,0.147446,0.103386,-0.347142,0.075831,0.978870,0.960166,0.326928,-0.328876,0.073274,-0.088542,0.424328,1.171755,,0.275827,0.113284
ROI#5,Between_AV_FW,0.048344,0.113754,0.075530,0.700714,0.209738,-0.000229,-0.472701,0.020291,1.141546,0.955708,0.294671,-0.310288,0.056761,-0.000865,0.408778,1.264194,,0.281622,0.123811
ROI#5,Between_FW_N,0.116826,0.036159,-0.155288,0.664672,0.129206,0.098617,-0.352029,0.103418,1.044510,0.990838,0.222097,-0.346613,0.066619,0.165029,0.407685,1.050970,,0.265170,0.112944
ROI#5,Between_FW_AJ,0.069846,-0.060338,-0.008787,0.622758,0.155802,0.034082,-0.542733,0.025579,1.120163,0.956421,0.250640,-0.372526,0.051756,0.081410,0.475927,1.160613,,0.251288,0.123502
ROI#5,Between_FW_V,0.045171,0.000833,0.042439,0.661628,0.170617,-0.015471,-0.504791,0.017727,1.104379,1.008844,0.298220,-0.324527,0.082971,0.084005,0.441250,1.190539,,0.268990,0.122917
ROI#5,Between_FW_AV,0.048344,0.113754,0.075530,0.700714,0.209738,-0.000229,-0.472701,0.020291,1.141546,0.955708,0.294671,-0.310288,0.056761,-0.000865,0.408778,1.264194,,0.281622,0.123811
