ROI#4,Within_Adj>Between_Adj_Adv,0.535933,0.695604,0.615734,0.357420,-0.080389,0.055534,0.372463,,0.364614,0.108632,3.356420,6,0.007649
ROI#4,Within_Adj>Between_Adj_V,-0.174268,0.097414,0.071990,0.103306,0.121127,-0.330563,0.247169,,0.019453,0.075293,0.258370,6,0.402378
ROI#4,Within_Adv>Between_Adv_N,-0.474982,-0.258828,0.183295,0.420744,0.570615,-0.185847,-0.193209,,0.008827,0.146397,0.060294,6,0.476940
ROI#4,Within_Adv>Between_Adv_Adj,-0.323878,-0.192543,0.049266,0.043882,0.326951,-0.212545,-0.099204,,-0.058296,0.082296,-0.708371,6,0.747355
ROI#4,Within_Adv>Between_Adv_V,-0.437274,-0.442401,0.131878,-0.100426,0.519330,-0.240334,-0.117135,,-0.098052,0.128015,-0.765939,6,0.763621
ROI#4,Within_V>Between_V_N,-0.402353,0.007484,-0.106044,0.382451,-0.208788,0.231419,-0.296177,,-0.056001,0.107168,-0.522552,6,0.689995
ROI#4,Within_V>Between_V_Adj,0.038949,0.228036,-0.003745,0.134135,-0.093566,0.485419,-0.342182,,0.063864,0.098131,0.650800,6,0.269642
ROI#4,Within_V>Between_V_Adv,0.635756,0.576369,0.622610,0.243941,-0.102704,0.843727,-0.234819,,0.369269,0.154811,2.385293,6,0.027187
ROI#4,N~=Adj,[0.614538;-0.328661],[0.244132;0.019700],[-0.042561;-0.009412],[0.093415;0.352960],[0.178656;0.021979],[0.088264;-0.236192],[0.069061;0.032234],,[0.177929;-0.021056],[0.080277;0.082704],2.589172,(2;5),0.169134
ROI#4,N~=Adv,[1.328029;-0.474982],[0.853752;-0.258828],[0.716612;0.183295],[0.474737;0.420744],[0.319951;0.570615],[0.406689;-0.185847],[0.315286;-0.193209],,[0.630722;0.008827],[0.139212;0.146397],13.579350,(2;5),0.009532
ROI#4,N~=V,[0.327628;-0.402353],[0.101294;0.007484],[-0.063458;-0.106044],[0.092077;0.382451],[0.162582;-0.208788],[-0.260106;0.231419],[0.330000;-0.296177],,[0.098574;-0.056001],[0.079444;0.107168],0.719627,(2;5),0.531295
ROI#4,Adj~=Adv,[0.535933;-0.323878],[0.695604;-0.192543],[0.615734;0.049266],[0.357420;0.043882],[-0.080389;0.326951],[0.055534;-0.212545],[0.372463;-0.099204],,[0.364614;-0.058296],[0.108632;0.082296],5.216551,(2;5),0.059744
ROI#4,Adj~=V,[-0.174268;0.038949],[0.097414;0.228036],[0.071990;-0.003745],[0.103306;0.134135],[0.121127;-0.093566],[-0.330563;0.485419],[0.247169;-0.342182],,[0.019453;0.063864],[0.075293;0.098131],0.737779,(2;5),0.523880
ROI#4,Adv~=V,[-0.437274;0.635756],[-0.442401;0.576369],[0.131878;0.622610],[-0.100426;0.243941],[0.519330;-0.102704],[-0.240334;0.843727],[-0.117135;-0.234819],,[-0.098052;0.369269],[0.128015;0.154811],2.533198,(2;5),0.173876
ROI#5,Within_N>0,2.093420,1.779352,0.586325,1.987471,1.285199,0.355977,1.098009,,1.312251,0.256923,5.107571,6,0.001102
ROI#5,Within_Adj>0,1.542742,1.819237,0.591147,1.904521,1.593001,0.899912,0.823698,,1.310608,0.199311,6.575696,6,0.000297
ROI#5,Within_Adv>0,0.983422,1.006726,0.500274,1.968669,1.000167,0.083371,0.822618,,0.909321,0.218353,4.164449,6,0.002957
ROI#5,Within_V>0,1.844883,2.091238,0.330399,1.646384,1.235084,0.203367,0.867542,,1.174128,0.278858,4.210490,6,0.002810
ROI#5,Within_N>Between_N_Adj,0.248952,-0.083987,-0.101280,0.168278,-0.193050,-0.244312,0.179680,,-0.003674,0.075080,-0.048936,6,0.518721
ROI#5,Within_N>Between_N_Adv,0.694385,0.631577,0.114880,0.509727,-0.016334,0.281831,0.281316,,0.356769,0.100229,3.559539,6,0.005967
ROI#5,Within_N>Between_N_V,0.084529,-0.200217,0.097770,0.294632,0.030001,0.043891,0.202927,,0.079076,0.058520,1.351266,6,0.112667
ROI#5,Within_Adj>Between_Adj_N,-0.301727,-0.044103,-0.096458,0.085328,0.114752,0.299623,-0.094631,,-0.005317,0.072583,-0.073248,6,0.528005
ROI#5,Within_Adj>Between_Adj_Adv,0.312595,0.573487,0.133697,0.118783,0.158704,0.609502,0.026359,,0.276161,0.087574,3.153456,6,0.009864
ROI#5,Within_Adj>Between_Adj_V,-0.247033,0.070731,0.231364,0.115827,0.144242,0.504445,-0.034451,,0.112161,0.087474,1.282218,6,0.123538
ROI#5,Within_Adv>Between_Adv_N,-0.415614,-0.141049,0.028829,0.490925,-0.301367,0.009225,0.005924,,-0.046161,0.110248,-0.418702,6,0.654996
ROI#5,Within_Adv>Between_Adv_Adj,-0.246726,-0.239024,0.042824,0.182932,-0.434131,-0.207039,0.025279,,-0.125126,0.081018,-1.544434,6,0.913283
ROI#5,Within_Adv>Between_Adv_V,-0.337656,-0.173199,0.099720,0.261192,-0.290188,0.077678,-0.125912,,-0.069767,0.083694,-0.833586,6,0.781782
ROI#5,Within_V>Between_V_N,-0.164008,0.111669,-0.158157,-0.046455,-0.020114,-0.108719,-0.027540,,-0.059046,0.036226,-1.629939,6,0.922882
ROI#5,Within_V>Between_V_Adj,0.055108,0.342731,-0.029384,-0.142310,-0.213676,-0.192100,0.009394,,-0.024320,0.072395,-0.335927,6,0.625819
ROI#5,Within_V>Between_V_Adv,0.523805,0.911312,-0.070154,-0.061094,-0.055271,0.197675,-0.080987,,0.195041,0.146053,1.335414,6,0.115084
ROI#5,N~=Adj,[0.248952;-0.301727],[-0.083987;-0.044103],[-0.101280;-0.096458],[0.168278;0.085328],[-0.193050;0.114752],[-0.244312;0.299623],[0.179680;-0.094631],,[-0.003674;-0.005317],[0.075080;0.072583],0.010374,(2;5),0.989701
ROI#5,N~=Adv,[0.694385;-0.415614],[0.631577;-0.141049],[0.114880;0.028829],[0.509727;0.490925],[-0.016334;-0.301367],[0.281831;0.009225],[0.281316;0.005924],,[0.356769;-0.046161],[0.100229;0.110248],5.353261,(2;5),0.057177
ROI#5,N~=V,[0.084529;-0.164008],[-0.200217;0.111669],[0.097770;-0.158157],[0.294632;-0.046455],[0.030001;-0.020114],[0.043891;-0.108719],[0.202927;-0.027540],,[0.079076;-0.059046],[0.058520;0.036226],1.274200,(2;5),0.357098
ROI#5,Adj~=Adv,[0.312595;-0.246726],[0.573487;-0.239024],[0.133697;0.042824],[0.118783;0.182932],[0.158704;-0.434131],[0.609502;-0.207039],[0.026359;0.025279],,[0.276161;-0.125126],[0.087574;0.081018],4.146099,(2;5),0.086783
